hour,temp,temp_before_1,temp_before_2,temp_before_3,temp_before_4,temp_before_5,temp_before_6,temp_before_7,temp_before_8,temp_before_9,temp_before_10,temp_before_11,temp_before_12,temp_before_13,temp_before_14,temp_before_15,temp_before_16,temp_before_17,temp_before_18,temp_before_19,temp_before_20,temp_before_21,temp_before_22,temp_before_23
23,-3.1,-3.2,-2.8,-2.4,-1.7,-1.2,-0.3,1.0,2.1,4.6,5.5,5.6,4.6,3.8,2.5,0.9,-0.5,-0.6,-0.8,-0.8,-0.5,-0.1,0.3,0.6
0,-2.3,-3.1,-3.2,-2.8,-2.4,-1.7,-1.2,-0.3,1.0,2.1,4.6,5.5,5.6,4.6,3.8,2.5,0.9,-0.5,-0.6,-0.8,-0.8,-0.5,-0.1,0.3
1,-3.1,-2.3,-3.1,-3.2,-2.8,-2.4,-1.7,-1.2,-0.3,1.0,2.1,4.6,5.5,5.6,4.6,3.8,2.5,0.9,-0.5,-0.6,-0.8,-0.8,-0.5,-0.1
2,-3.6,-3.1,-2.3,-3.1,-3.2,-2.8,-2.4,-1.7,-1.2,-0.3,1.0,2.1,4.6,5.5,5.6,4.6,3.8,2.5,0.9,-0.5,-0.6,-0.8,-0.8,-0.5
3,-3.6,-3.6,-3.1,-2.3,-3.1,-3.2,-2.8,-2.4,-1.7,-1.2,-0.3,1.0,2.1,4.6,5.5,5.6,4.6,3.8,2.5,0.9,-0.5,-0.6,-0.8,-0.8
4,-3.8,-3.6,-3.6,-3.1,-2.3,-3.1,-3.2,-2.8,-2.4,-1.7,-1.2,-0.3,1.0,2.1,4.6,5.5,5.6,4.6,3.8,2.5,0.9,-0.5,-0.6,-0.8
5,-4.0,-3.8,-3.6,-3.6,-3.1,-2.3,-3.1,-3.2,-2.8,-2.4,-1.7,-1.2,-0.3,1.0,2.1,4.6,5.5,5.6,4.6,3.8,2.5,0.9,-0.5,-0.6
6,-4.5,-4.0,-3.8,-3.6,-3.6,-3.1,-2.3,-3.1,-3.2,-2.8,-2.4,-1.7,-1.2,-0.3,1.0,2.1,4.6,5.5,5.6,4.6,3.8,2.5,0.9,-0.5
7,-4.3,-4.5,-4.0,-3.8,-3.6,-3.6,-3.1,-2.3,-3.1,-3.2,-2.8,-2.4,-1.7,-1.2,-0.3,1.0,2.1,4.6,5.5,5.6,4.6,3.8,2.5,0.9
8,-1.7,-4.3,-4.5,-4.0,-3.8,-3.6,-3.6,-3.1,-2.3,-3.1,-3.2,-2.8,-2.4,-1.7,-1.2,-0.3,1.0,2.1,4.6,5.5,5.6,4.6,3.8,2.5
9,1.1,-1.7,-4.3,-4.5,-4.0,-3.8,-3.6,-3.6,-3.1,-2.3,-3.1,-3.2,-2.8,-2.4,-1.7,-1.2,-0.3,1.0,2.1,4.6,5.5,5.6,4.6,3.8
10,3.1,1.1,-1.7,-4.3,-4.5,-4.0,-3.8,-3.6,-3.6,-3.1,-2.3,-3.1,-3.2,-2.8,-2.4,-1.7,-1.2,-0.3,1.0,2.1,4.6,5.5,5.6,4.6
11,4.5,3.1,1.1,-1.7,-4.3,-4.5,-4.0,-3.8,-3.6,-3.6,-3.1,-2.3,-3.1,-3.2,-2.8,-2.4,-1.7,-1.2,-0.3,1.0,2.1,4.6,5.5,5.6
12,4.3,4.5,3.1,1.1,-1.7,-4.3,-4.5,-4.0,-3.8,-3.6,-3.6,-3.1,-2.3,-3.1,-3.2,-2.8,-2.4,-1.7,-1.2,-0.3,1.0,2.1,4.6,5.5
13,4.2,4.3,4.5,3.1,1.1,-1.7,-4.3,-4.5,-4.0,-3.8,-3.6,-3.6,-3.1,-2.3,-3.1,-3.2,-2.8,-2.4,-1.7,-1.2,-0.3,1.0,2.1,4.6
14,1.8,4.2,4.3,4.5,3.1,1.1,-1.7,-4.3,-4.5,-4.0,-3.8,-3.6,-3.6,-3.1,-2.3,-3.1,-3.2,-2.8,-2.4,-1.7,-1.2,-0.3,1.0,2.1
15,-1.4,1.8,4.2,4.3,4.5,3.1,1.1,-1.7,-4.3,-4.5,-4.0,-3.8,-3.6,-3.6,-3.1,-2.3,-3.1,-3.2,-2.8,-2.4,-1.7,-1.2,-0.3,1.0
16,-1.4,-1.4,1.8,4.2,4.3,4.5,3.1,1.1,-1.7,-4.3,-4.5,-4.0,-3.8,-3.6,-3.6,-3.1,-2.3,-3.1,-3.2,-2.8,-2.4,-1.7,-1.2,-0.3
17,-1.7,-1.4,-1.4,1.8,4.2,4.3,4.5,3.1,1.1,-1.7,-4.3,-4.5,-4.0,-3.8,-3.6,-3.6,-3.1,-2.3,-3.1,-3.2,-2.8,-2.4,-1.7,-1.2
18,-1.9,-1.7,-1.4,-1.4,1.8,4.2,4.3,4.5,3.1,1.1,-1.7,-4.3,-4.5,-4.0,-3.8,-3.6,-3.6,-3.1,-2.3,-3.1,-3.2,-2.8,-2.4,-1.7
19,-2.2,-1.9,-1.7,-1.4,-1.4,1.8,4.2,4.3,4.5,3.1,1.1,-1.7,-4.3,-4.5,-4.0,-3.8,-3.6,-3.6,-3.1,-2.3,-3.1,-3.2,-2.8,-2.4
20,-2.6,-2.2,-1.9,-1.7,-1.4,-1.4,1.8,4.2,4.3,4.5,3.1,1.1,-1.7,-4.3,-4.5,-4.0,-3.8,-3.6,-3.6,-3.1,-2.3,-3.1,-3.2,-2.8
21,-2.9,-2.6,-2.2,-1.9,-1.7,-1.4,-1.4,1.8,4.2,4.3,4.5,3.1,1.1,-1.7,-4.3,-4.5,-4.0,-3.8,-3.6,-3.6,-3.1,-2.3,-3.1,-3.2
22,-3.1,-2.9,-2.6,-2.2,-1.9,-1.7,-1.4,-1.4,1.8,4.2,4.3,4.5,3.1,1.1,-1.7,-4.3,-4.5,-4.0,-3.8,-3.6,-3.6,-3.1,-2.3,-3.1
23,-3.3,-3.1,-2.9,-2.6,-2.2,-1.9,-1.7,-1.4,-1.4,1.8,4.2,4.3,4.5,3.1,1.1,-1.7,-4.3,-4.5,-4.0,-3.8,-3.6,-3.6,-3.1,-2.3
0,-3.1,-3.3,-3.1,-2.9,-2.6,-2.2,-1.9,-1.7,-1.4,-1.4,1.8,4.2,4.3,4.5,3.1,1.1,-1.7,-4.3,-4.5,-4.0,-3.8,-3.6,-3.6,-3.1
1,-3.4,-3.1,-3.3,-3.1,-2.9,-2.6,-2.2,-1.9,-1.7,-1.4,-1.4,1.8,4.2,4.3,4.5,3.1,1.1,-1.7,-4.3,-4.5,-4.0,-3.8,-3.6,-3.6
